Date,Number 1,Number 2,Number 3,Number 4,Number 5,Powerball,Power Play,Jackpot
10/20/18,62,16,54,57,69,23,2,476700000
10/17/18,3,64,69,68,57,15,3,378000000
10/13/18,14,65,11,43,32,15,3,320000000
10/10/18,27,60,42,23,8,7,3,287600000
10/6/18,22,53,27,67,1,15,3,262300000
10/3/18,63,66,53,59,41,3,3,232400000
9/29/18,9,17,34,59,64,22,2,213400000
9/26/18,7,1,30,50,2,8,5,195000000
9/22/18,61,24,69,64,63,18,5,179400000
9/19/18,50,4,51,48,39,11,3,161400000
9/15/18,19,18,24,34,2,3,3,147500000
9/12/18,28,48,63,6,64,24,2,131500000
9/8/18,20,32,3,33,13,21,3,118000000
9/5/18,59,60,6,50,15,13,2,100100000
9/1/18,54,66,55,61,11,9,3,90000000
8/29/18,53,25,41,67,57,12,2,80000000
8/25/18,25,20,57,63,54,8,2,70000000
8/22/18,45,1,47,69,7,13,2,60000000
8/18/18,34,67,52,61,24,16,3,50000000
8/15/18,28,15,12,47,48,16,2,40000000
8/11/18,56,43,5,68,62,24,2,245600000
8/8/18,21,63,30,43,10,17,2,225700000
8/4/18,38,58,3,11,44,2,4,205600000
8/1/18,5,38,22,58,32,26,2,185100000
7/28/18,27,65,56,46,22,13,2,168600000
7/25/18,64,44,18,2,41,26,2,149600000
7/21/18,9,56,58,23,68,1,2,131900000
7/18/18,28,36,10,1,27,12,2,113300000
7/14/18,49,22,41,67,42,11,3,100000000
7/11/18,21,19,47,27,46,7,4,90000000
7/7/18,45,43,1,10,64,22,3,80000000
7/4/18,7,41,15,4,44,10,2,70000000
6/30/18,9,3,20,42,61,24,2,60000000
6/27/18,63,28,62,7,37,15,2,50000000
6/23/18,29,56,45,16,43,25,2,40000000
6/20/18,14,56,27,4,23,13,2,150400000
6/16/18,65,9,58,57,45,9,2,136000000
6/13/18,13,38,45,20,55,1,2,120700000
6/9/18,36,10,25,6,15,14,3,105100000
6/6/18,53,28,41,23,56,14,3,87900000
6/2/18,23,37,64,44,25,7,4,74000000
5/30/18,46,23,26,17,68,20,2,60000000
5/26/18,45,31,21,1,49,21,2,50000000
5/23/18,20,54,61,56,64,7,4,40000000
5/19/18,56,9,17,3,6,25,3,315300000
5/16/18,17,22,21,19,51,19,2,279800000
5/12/18,42,56,22,55,45,14,3,257900000
5/9/18,50,69,16,38,11,19,2,235000000
5/5/18,29,36,14,61,57,17,4,214600000
5/2/18,40,5,31,50,14,6,2,195200000
4/28/18,28,50,22,45,20,8,5,177800000
4/25/18,18,17,39,64,56,12,3,158800000
4/21/18,50,69,54,62,40,19,2,142700000
4/18/18,12,17,10,9,23,9,2,124100000
4/14/18,61,17,19,26,62,15,2,107800000
4/11/18,67,18,16,55,27,18,3,89700000
4/7/18,38,2,20,17,39,20,2,74900000
4/4/18,42,64,54,8,24,24,4,60000000
3/31/18,24,55,52,61,8,21,3,50000000
3/28/18,53,8,52,6,26,21,2,40000000
3/24/18,33,56,53,10,45,24,3,55900000
3/21/18,29,4,61,3,18,25,2,40000000
3/17/18,60,66,22,59,57,7,2,456700000
3/14/18,12,24,6,41,68,9,3,417300000
3/10/18,69,43,54,44,61,22,3,380600000
3/7/18,36,6,19,13,51,18,2,346300000
3/3/18,40,17,36,25,13,5,2,318700000
2/28/18,69,12,65,59,30,16,5,294300000
2/24/18,38,25,62,63,24,6,2,271000000
2/21/18,7,36,31,15,34,8,3,245100000
2/17/18,26,62,39,13,44,2,3,225300000
2/14/18,44,46,37,39,69,26,2,203900000
2/10/18,27,13,41,59,1,20,5,185200000
2/7/18,40,35,34,47,23,10,2,164200000
2/3/18,15,48,23,27,53,6,2,148700000
1/31/18,7,4,14,59,46,22,10,128000000
1/27/18,54,26,17,21,47,7,2,112500000
1/24/18,11,9,5,33,64,21,3,94400000
1/20/18,28,26,58,47,49,3,4,79400000
1/17/18,33,51,3,37,57,21,2,62400000
1/13/18,69,25,35,14,58,24,2,50000000
1/10/18,7,24,50,49,33,4,5,40000000
1/6/18,12,61,30,29,33,26,3,559700000
1/3/18,42,39,18,2,37,12,3,460900000
12/30/17,58,28,51,41,36,24,2,390100000
12/27/17,16,60,3,56,9,3,3,340400000
12/23/17,44,15,1,13,3,25,2,309600000
12/20/17,20,61,64,1,69,20,2,272000000
12/16/17,35,63,37,9,50,11,2,249100000
12/13/17,2,28,51,58,24,7,3,230000000
12/9/17,36,60,55,37,25,6,5,211600000
12/6/17,50,19,55,62,20,9,2,194300000
12/2/17,32,30,36,28,58,6,3,178500000
11/29/17,59,28,26,24,63,16,3,161300000
11/25/17,53,8,54,27,13,4,2,147400000
11/22/17,61,51,37,46,35,13,2,134800000
11/18/17,17,31,28,32,39,26,3,120500000
11/15/17,48,32,44,50,23,25,2,103600000
11/11/17,56,6,4,30,16,18,2,89500000
11/8/17,12,21,14,34,20,22,2,75500000
11/4/17,51,48,12,26,14,13,3,62900000
11/1/17,26,3,19,6,44,1,2,50100000
10/28/17,35,27,57,66,38,10,2,40000000
10/25/17,57,54,29,22,18,8,3,191100000
10/21/17,14,45,69,41,42,4,2,174300000
10/18/17,69,54,49,30,66,8,2,156100000
10/14/17,56,37,69,32,66,11,3,141100000
10/11/17,1,69,19,3,13,23,2,127100000
10/7/17,61,10,49,65,63,7,2,112400000
10/4/17,23,63,62,66,22,24,2,95500000
9/30/17,8,25,12,41,64,15,3,81600000
9/27/17,21,25,10,23,8,22,3,66100000
9/23/17,45,24,56,55,57,19,2,53600000
9/20/17,68,48,67,39,53,26,3,40000000
9/16/17,31,24,25,17,18,24,2,133200000
9/13/17,24,63,35,57,17,19,3,115500000
9/9/17,59,20,6,57,29,22,2,100300000
9/6/17,32,14,8,58,67,17,3,84800000
9/2/17,62,41,21,52,6,26,2,70500000
8/30/17,43,19,69,28,67,7,2,54300000
8/26/17,66,15,7,38,32,15,2,40000000
8/23/17,7,26,16,23,6,4,4,758700000
8/19/17,17,68,19,43,39,13,4,541900000
8/16/17,64,43,60,9,15,4,3,432500000
8/12/17,35,20,49,26,24,19,2,371100000
8/9/17,12,30,47,62,36,9,4,323500000
8/5/17,33,21,45,11,28,11,2,287200000
8/2/17,16,1,54,63,69,18,3,262600000
7/29/17,1,40,28,48,45,12,2,242500000
7/26/17,19,42,21,7,69,12,2,218700000
7/22/17,44,32,60,5,53,9,3,201300000
7/19/17,63,51,59,61,50,4,5,186100000
7/15/17,40,66,9,64,63,17,2,170700000
7/12/17,18,23,2,61,1,9,2,155000000
7/8/17,29,8,40,59,10,26,2,140300000
7/5/17,54,9,68,4,16,21,2,123100000
7/1/17,45,19,42,53,48,16,3,109400000
6/28/17,46,37,29,53,68,8,2,91800000
6/24/17,36,32,22,58,10,10,4,78700000
6/21/17,65,14,46,68,61,13,2,65300000
6/17/17,13,62,10,53,32,21,2,53000000
6/14/17,63,22,5,43,57,24,2,40000000
6/10/17,32,26,20,38,58,3,2,447800000
6/7/17,66,57,5,69,21,13,3,380600000
6/3/17,54,41,9,3,21,25,4,338000000
5/31/17,60,39,33,4,46,6,2,304600000
5/27/17,55,10,5,67,28,9,3,274700000
5/24/17,38,28,33,32,62,15,2,249100000
